user_id,average_tweets_daily,average_retweets_daily,average_hashtags,average_urls,average_followers,right_partiality,left_partiality,polarity,subjectivity,average_tweet_size,label,date
SRAHSE,1.4909390444810544,0.3228995057660626,0.5812897366030881,0.1980018165304269,99.90190735694823,0.019981834695731154,0.02633969118982743,0.0926332683498805,0.35337381991989814,70.16439600363306,HashtagGamer,2015-01-10 00:00:00
SSABRINAHUH,0.5478547854785478,0.132013201320132,1.0485436893203883,0.3106796116504854,60.592233009708735,0.02912621359223301,0.10194174757281553,0.1027640511681774,0.36183575234546106,80.85922330097087,RightTroll,2016-01-29 00:00:00
SSUS_PANTHER,1.3448275862068966,0.050156739811912224,0.8808988764044944,0.21348314606741572,36.912359550561796,0.02696629213483146,0.02247191011235955,0.0981421526367541,0.3636274428339035,74.53932584269663,RightTroll,2015-01-13 00:00:00
STANLEYPARRIS,0.3741721854304636,6.682119205298013,0.2667761614265603,0.7646644767714688,743.9807602064758,0.036367902393242606,0.05865790708587518,0.06928402000542061,0.3436086134892446,105.98240262787424,LeftTroll,2016-01-01 00:00:00
STANLEY_COX_,0.8065610859728507,1.8574660633484164,0.9656050955414013,0.721868365180467,1403.812738853503,0.04543524416135881,0.08789808917197452,0.06174410412232283,0.29236240439005834,101.42887473460722,RightTroll,2016-01-10 00:00:00
STASCYTR,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.06931818181818182,0.2324915824915825,98.83333333333333,RightTroll,2017-07-25 00:00:00
STAYWOKE88,0.6748366013071896,8.34967320261438,0.43581386927394533,0.730581205866377,441.045989498461,0.03784175267065001,0.050334962882491396,0.05623601616908302,0.3421241844250981,106.78942603657433,LeftTroll,2016-01-01 00:00:00
STEPHANIETHEJAD,0.0,3.6,0.6111111111111112,1.1111111111111112,3.2777777777777777,0.0,0.05555555555555555,0.18093659812409812,0.49797077922077926,121.11111111111111,LeftTroll,2015-12-14 00:00:00
STEPSTEP_HEN,0.22580645161290322,0.08387096774193549,1.4479166666666667,0.3020833333333333,60.125,0.052083333333333336,0.125,0.07116183458468615,0.3581633297258297,90.15625,RightTroll,2016-01-29 00:00:00
STERRSAM,1.0,0.0,2.0,1.0,273.0,0.0,0.0,0.0,0.0,54.0,RightTroll,2017-07-31 00:00:00
STINSON_SS,0.7360406091370558,0.0,0.6068965517241379,0.23448275862068965,54.358620689655176,0.027586206896551724,0.027586206896551724,0.11657558756696688,0.37665721251928147,65.02758620689656,RightTroll,2016-01-15 00:00:00
STLOUISONLINE,24.3531669865643,0.0,0.4735182849936948,1.0172604035308954,8462.469656368223,0.01867906683480454,0.026245271122320304,0.03994425102243513,0.20872116308522756,89.76174337957124,NewsFeed,2017-01-01 00:00:00
STOPBRUTAL,0.4782608695652174,3.652173913043478,0.8315789473684211,1.2105263157894737,6.6947368421052635,0.031578947368421054,0.18947368421052632,0.0435846244398876,0.24980728335991495,116.66315789473684,LeftTroll,2016-07-11 00:00:00
STRICTGRACE,0.28342245989304815,0.20855614973262032,2.108695652173913,0.31521739130434784,30.08695652173913,0.010869565217391304,0.043478260869565216,0.1244128787878788,0.375701581027668,79.16304347826087,Fearmonger,2015-11-15 00:00:00
